density	velocity	pressure	total_energy	thermal_energy	kinetic_energy	mach	position	e
2.2443027950882882e-05	0.2500000056022943	3.60658887797119	9.016472896272631	9.016472194927976	7.013446548982023e-07	0.0007303535074563082	0.035	401749.3635288761
2.524511100044246e-05	0.25595238767112133	3.6065889425549043	9.016473183311382	9.016472356387263	8.26924119373949e-07	0.0007477428795533781	0.035833333333333335	357157.1682227593
2.8320335796950806e-05	0.2619047699132587	3.60658901680745	9.01647351332272	9.016472542018628	9.713040932532074e-07	0.0007651322521567592	0.03666666666666667	318374.4926848434
3.168820202733866e-05	0.2678571526849236	3.606589101906191	9.016473891539393	9.01647275476548	1.1367739125230717e-06	0.0007825216263071096	0.0375	284537.2150488883
3.536911545952107e-05	0.27380953524026225	3.606589199140504	9.016474323691941	9.016472997851263	1.3258406774576938e-06	0.0007999109998254812	0.03833333333333334	254925.03503997304
3.938441009641245e-05	0.2797619183643153	3.6065893099195856	9.01647481604348	9.016473274798965	1.5412445146526286e-06	0.0008173003750053033	0.03916666666666667	228935.0850432131
4.375636732450734e-05	0.2857143018862223	3.6065894357806094	9.016475375425903	9.016473589451525	1.7859743786891377e-06	0.0008346897513474213	0.04	206060.83504563506
4.850823721187074e-05	0.29166668585120636	3.606589578397268	9.016476009277838	9.016473945993171	2.0632846667239865e-06	0.0008520791289839507	0.04083333333333333	185875.1103778864
5.366425876395274e-05	0.2976190700538796	3.6065897395886446	9.016476725684113	9.016474348971613	2.3767124988701034e-06	0.0008694685073148688	0.041666666666666664	168016.3773179355
5.924968112720288e-05	0.30357145474222014	3.6065899213285233	9.0164775334171	9.01647480332131	2.730095790517412e-06	0.0008868578870646221	0.0425	152177.6089218755
6.529078401108898e-05	0.3095238402807054	3.606590125755027	9.016478441979602	9.01647531438757	3.1275920325297736e-06	0.000904247269298	0.043333333333333335	138097.21312055632
7.181489730440298e-05	0.31547622622649724	3.6065903551806717	9.01647946164946	9.016475887951682	3.5736977793440308e-06	0.000921636652721289	0.04416666666666667	125551.60873841251
7.885042327502303e-05	0.3214286129035325	3.6065906121028424	9.0164806035262	9.016476530257108	4.0732690902534195e-06	0.0009390260382808427	0.045	114349.1202172557
8.642685621501413e-05	0.3273810004181231	3.6065908992146567	9.016481879579246	9.016477248036644	4.63154260157791e-06	0.0009564154262872425	0.04583333333333334	104324.94762513752
9.457480318940579e-05	0.333333388821961	3.606591219416243	9.016483302698092	9.016478048540609	5.254157482020259e-06	0.0009738048168915016	0.04666666666666667	95337.00038987368
0.0001033260047469859	0.3392857781941337	3.606591575826463	9.016484886744374	9.01647893956616	5.947178215194825e-06	0.0009911942103246676	0.0475	87262.4366116234
0.00011271335566922678	0.34523816871597635	3.6065919717950568	9.016486646605875	9.016479929487645	6.717118230401688e-06	0.0010085836071164953	0.04833333333333333	79994.77857750746
0.00012277092532670384	0.3511905604901712	3.6065924109152285	9.016488598252433	9.016481027288073	7.570964360682236e-06	0.0010259730075669624	0.04916666666666667	73441.50093594595
0.00013353397826750712	0.3571429535493757	3.6065928970366707	9.01649075879387	9.016482242591678	8.51620219128662e-06	0.0010433624117714745	0.05	67522.00720425672
0.00014503899527790393	0.363095348101268	3.606593434279101	9.016493146540094	9.016483585697754	9.560842340670573e-06	0.0010607518203367455	0.050833333333333335	62165.92695241439
